Shape,Shape code,Color,MMYYYY,AVG,TOTAL_SF
"4""x12""",5,MA06-Bardigio,22017,8.64,5.16
"1.2""X24""",4,DE11-Bronze,42017,10.29,4.38
"3""x6""",3,MA05-Emperador Light,32017,1.89,4.12
"3""x6""",3,MA03-Frost,32017,1.89,4.12
"3""x6""",3,MA04-Marfil,32017,1.89,4.12
"3""x6""",3,MA01-Statuary,42017,1.89,4.12
"3""x6""",3,MA06-Bardigio,42017,1.89,4.12
"4""x12""",5,MA03-Frost,112016,5.55,3.87
"2""x2""",1,TS03-Dark Gray,112016,3.39,3.87
"8""x8""",6,NB16-Flower Deco,12017,5.8,3.87
"8""x8""",6,NB20-Squares Deco,12017,5.8,3.87
"8""x8""",6,NB19-Moorish Deco,12017,5.8,3.87
