"Series","Shape","Color","TOTAL_SF"
"Mars Stone","1""X6""","MS02-Ivory","1.25"
"Aegean","1""X6""","AE01-Ivory","1.25"
"NO.5","1""X6""","NB02-Beige","1.25"
"NO.5","1""X6""","NB04-Dark Gray","1.25"
"Mars Stone","1""X6""","MS04-Toffee","1.25"
"NO.12","1""X6""","NB58-Nero","1"
"NO.12","1""X6""","NB56-Grigio","0.88"
"Arcadia","1""X6""","AC03-Greige","0.69"
"Aegean","1""X6""","AE02-Light Gray","0.64"
"Arcadia","6""x12""","AC02-Light Gray","0.5"
"NO.12","6""x12""","NB51-Avorio","0.5"
"NO.12","6""x12""","NB50-Super White","0.5"
"Arcadia","1""X6""","-","0.38"
"NO.12","4""x12""","NB57-Tobacco","0.32"
"NO.12","1""X6""","NB59-Super Black","0.31"
"Marble Folio","1""X6""","MA01-Statuary","0.25"
"Mars Stone","1""X6""","MS05-Dark Gray","0.25"
"Mars Stone","1""X6""","MS03-Light Gray","0.25"
"NO.9","1""X6""","NB10-Ivory","0.25"
"Fabric Folio","1""X6""","FB02-Silver","0.25"
"Fabric Folio","1""X6""","FB01-Ivory","0.12"
"Marble Folio","1""X6""","MA03-Frost","0.06"
"Fabric Folio","1""X6""","FB04-Black","0.06"
